algorithm,seed,rng_seed,objective_evaluations,feasible_evaluations,feasible_evaluation_fraction,front_count,minimum_carbon_kgCO2e_m3,minimum_cost_CNY_m3,maximum_strength_MPa,igd_joint_empirical_reference,compromise_carbon_kgCO2e_m3,compromise_cost_CNY_m3,compromise_strength_MPa,compromise_binder_kg_m3,compromise_slag_fraction,compromise_water_binder_ratio,compromise_pasta_kg_m3
NSGA-II,42,42,8080,5556,0.6876237623762376,76,144.71764866013152,278.15399808380226,76.9297131143291,0.012894137233055426,196.3986940697291,308.1312508749142,57.75318162763389,384.63373623386843,0.5017608012642246,0.39077510546244343,0.027085812874703387
NSGA-II,43,43,8080,5501,0.6808168316831683,80,144.87112022106834,278.2535225796839,76.88661311942198,0.011250550144944933,195.72903643664296,310.2829329239815,57.96632607024963,409.81942687474896,0.5437399569398895,0.39142607460821177,0.029593773587813677
NSGA-II,44,44,8080,5373,0.6649752475247525,80,144.7089706304004,278.2006405896057,76.9363711500417,0.012067009147711057,197.34164613682663,308.5414894986503,57.892695859373106,385.625623430536,0.5001385911641005,0.3901283343584513,0.042231743101093094
NSGA-II,45,45,8080,5515,0.682549504950495,80,144.73782329932615,278.1649761627793,76.74695106810718,0.012603237456773256,193.3902957188285,307.53776661931965,57.59791564970822,387.12818022352644,0.5164206127834493,0.3907840456612099,0.000354721561473155
NSGA-II,46,46,8080,5543,0.6860148514851485,78,144.71946207035262,278.2227999630572,76.91773334038207,0.01260530090166178,191.97501201523676,305.58793814557674,57.30619592978406,370.8858880418989,0.49386785123932586,0.3908451696663292,0.004890929719553809
uniform_random,42,10042,8080,2654,0.3284653465346535,46,148.79022274874154,280.1404954402333,74.20880327628133,0.04948449006778836,201.66419960061654,305.48755640923434,56.282320054222645,350.2281008058967,0.4179369130278752,0.39834106139797815,0.7034342609437422
uniform_random,43,10043,8080,2674,0.33094059405940596,49,147.2975046972934,279.3530251656815,73.40775729708224,0.05029454050452353,198.94630752688968,309.05439008261874,58.06806684533304,386.01343327337986,0.49516875748656214,0.3899450632867904,0.005753914596959286
uniform_random,44,10044,8080,2675,0.3310643564356436,44,152.89301505774446,283.4195947927357,71.98952047008807,0.07012107892495285,197.75488955003118,306.29116776026615,57.12126817227603,363.77959723422146,0.45970477974075447,0.3920566252388289,0.4030496101423048
uniform_random,45,10045,8080,2634,0.325990099009901,58,147.08869572353038,280.42516945156734,74.07639142129618,0.048634432848392826,194.98372726421118,308.9383326784931,56.952538035278906,403.6449838657503,0.53696303798314,0.39633883872468617,0.3087058529454423
uniform_random,46,10046,8080,2682,0.33193069306930695,55,150.89189021352047,281.994623842307,72.51371030746911,0.049792433580637147,182.93696048447288,303.22944079920904,55.20226268737326,383.8350180475991,0.5476640190210615,0.40189510242518217,0.28714685385524297
